店家名稱 (中文),店家名稱 (韓文),分類,必點 / 必買,價格參考
馬山老奶奶鮟鱇魚蒸,마산할매아구찜,美食,必點：辣蒸鮟鱇魚 (아구찜)、加豆芽菜；在地老字號名店,₩35,000-50,000
hetras 聖水,헤트라스 성수,購物,必買：香水 No.29 (清新花香)、No.7 (木質調)、No.5 (經典款)；韓國小眾香水品牌,₩80,000-150,000
newmix coffee,뉴믹스커피,咖啡甜點,必買：即溶咖啡禮盒 (伴手禮首選)、現煮咖啡、咖啡豆,₩15,000-35,000
ADERERROR 聖水,아더 성수 스페이스,服飾,推薦：經典Logo衛衣、解構設計外套、配件小物；旗艦概念店,₩100,000-400,000
BLUE ELEPHANT 聖水,블루엘리펀트 성수,服飾,必買：平價太陽眼鏡 (墨鏡)、韓系鏡框款式；CP值高的韓國墨鏡品牌,₩25,000-60,000
fwee Agit,퓌 아지트,彩妝,必買：布丁唇泥 (푸딩 틴트)、光澤唇蜜、腮紅；韓國人氣彩妝品牌,₩15,000-30,000
DIOR 聖水,디올 성수,景點,拍照打卡點；定期更換展覽主題；可預約進場,免費入場
NYUNYU 聖水,뉴뉴 성수,服飾,必買：韓系飾品、耳環、項鏈、戒指；飾品購物聖地,₩10,000-50,000
띵굴 聖水,띵굴스토어 성수,選物,推薦：生活選物、文具雜貨、香氛蠟燭、設計小物,₩10,000-80,000
KODAK 東大門,코닥어패럴 동대문,服飾,必買：復古風外套、帽T、相機圖案T恤；DunDun 2樓,₩50,000-150,000
ept 聖水,이피티 성수,服飾,必買：韓國熱門運動鞋、厚底休閒鞋、聯名款式,₩100,000-200,000
HAUS NOWHERE,하우스 노웨어,選物,推薦：設計師品牌服飾、配件；臘腸狗地標建築必拍,₩80,000-300,000
thisisneverthat,디스이즈네버댓,服飾,必買：街頭潮流T恤、衛衣、外套、帽子；韓國代表性街牌,₩50,000-200,000
KITH 首爾,키스 서울,服飾,推薦：聯名限定款、潮流運動服飾、球鞋；聖水潮流據點,₩100,000-500,000
HUMAN MADE,휴먼메이드,服飾,必買：NIGO設計經典愛心Logo、動物圖案T恤、配件,₩150,000-400,000
MUSINSA EMPTY,무신사 엠프티,選物,推薦：韓國設計師品牌集合店、獨家聯名款；大型選品店,₩30,000-300,000
清水堂,청수당,咖啡甜點,必點：竹林座位區拍照、紅豆粥 (팥죽)、傳統飲品；益善洞名店,₩8,000-15,000
YM Coffee House,YM커피하우스,咖啡甜點,推薦：手沖咖啡、單品咖啡豆、甜點；教堂風格咖啡廳,₩6,000-12,000
Cafe Layered 延南店,카페 레이어드 연남점,咖啡甜點,必點：司康 (스콘)、奶油司康、果醬司康、草莓鮮奶油款,₩5,000-10,000
Thanks Oat 延南,땡스오트 연남,咖啡甜點,必點：手工優格 (요거트)、燕麥碗、水果優格；健康早午餐,₩8,000-15,000
今天也足夠,오늘도충분해,咖啡甜點,推薦：蛋糕、手工甜點、咖啡；週二公休；延禧洞氛圍咖啡廳,₩7,000-15,000
素賢堂,소현당,咖啡甜點,必點：傳統韓茶、藥菓 (약과)、韓屋庭院座位；韓屋茶室體驗,₩10,000-18,000
Artist Bakery,아티스트 베이커리,咖啡甜點,必點：鹽可頌 (소금 크로와상)、可頌、牛角麵包；排隊名店,₩4,000-8,000
29CM 聖水,이구성수,選物,推薦：韓國設計師品牌、選品服飾、生活雜貨；線上選品實體店,₩30,000-200,000
Ground Seesaw 西村,그라운드시소 서촌,展覽,推薦：當期展覽、藝術展、攝影展；質感展覽空間門票,₩15,000-20,000
廣藏市場 156號,광장시장 156호,雜貨,必買：韓國製手工棉被、蠶絲被、枕頭；傳統市場老店,₩100,000-500,000
Cociety 首爾林,코사이어티 서울숲,工作咖啡,推薦：咖啡、甜點、創意空間；週一公休；可工作,₩6,000-12,000
Brautor,브라우터,工作咖啡,必點：蝴蝶餅 (프레즐)、德式椒鹽捲餅、咖啡；整棟建築都是座位,₩5,000-12,000
Debunk,디벙크,工作咖啡,推薦：咖啡、甜點；地下層讀書氛圍、適合工作,₩5,000-10,000
Hollys Coffee 弘大站,할리스 홍대역점,工作咖啡,推薦：美式咖啡、鬆餅、三明治；24小時營業、適合筆電工作,₩5,000-12,000
Ediya Coffee Lab,이디야커피랩,工作咖啡,推薦：咖啡、甜點、寬敞座位；旗艦店概念、適合長時間停留,₩4,000-10,000
Terarosa POSCO,테라로사 포스코센터점,工作咖啡,推薦：手沖咖啡、麵包、蛋糕；鋼鐵書架牆打卡點、江南商務區,₩6,000-15,000
